Cena;Objeto;Texto Original (PT);Traducao (EN);Key sugerida
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Resume/TextResume;CONTINUAR;;continuar
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/TextPause;PAUSA;;pausa
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_NextLevel/TextMenu;PRÓXIMO;;proximo
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Repetir/TextMenu;REPETIR;;repetir
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Value;01:00;;0100
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Label;DESLIZES;;deslizes
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Value;01:00;;0100
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Label;COLISÕES;;colisoes
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Value;01:00;;0100
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Label;TEMPO;;tempo
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/EndGameMessage;NÍVEL CONCLUÍDO;;nivel_concluido
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_MainMenu/TextMenu;MENU PRINCIPAL;;menu_principal
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_Restart/TextMenu;REPETIR;;repetir
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningText;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningIcon;!;;
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Next/Text (TMP);PRÓXIMO;;proximo
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Restart/Text (TMP);REINICIAR;;reiniciar
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideValue;00;;00
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideLabel;DESLIZES;;deslizes
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionValue;00;;00
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionLabel;COLISÕES;;colisoes
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TimeValue;00:00;;0000
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TextLabel;TEMPO;;tempo
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/TitleText;NÍVEL CONCLUÍDO;;nivel_concluido
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Restart/Text _Restart;REINICIAR;;reiniciar
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Resume/Text_Resume;CONTINUAR;;continuar
